,C1,C2,C3
1971-08-16,2.253845,0.17542386,-0.33451933
1971-08-17,1.6402376,0.047684535,-0.15007399
1971-08-18,1.7218187,-0.08663898,-0.20537286
1971-08-19,1.4896603,-0.22441983,-0.21192773
1971-08-20,1.6577626,-0.1599884,-0.28532955
1971-08-23,2.0962226,-0.12081174,-0.39448893
1971-08-24,1.7063346,-0.102043025,-0.3134503
1971-08-25,1.7780296,-0.115087785,-0.3068501
1971-08-26,1.665101,-0.106625244,-0.29457092
1971-08-27,1.5185951,-0.08168262,-0.2579513
1971-08-30,1.4286312,-0.14236432,-0.28181565
1971-08-31,1.2624029,-0.16240692,-0.25213432
1971-09-01,1.2733684,-0.041708536,-0.33611318
1971-09-02,1.1591847,0.05737788,-0.34623134
1971-09-03,1.044553,0.08619104,-0.35203585
1971-09-07,0.92694795,0.13012351,-0.3615647
1971-09-08,1.0405388,0.16358006,-0.42806056
1971-09-09,1.2639941,0.169013,-0.5151635
1971-09-10,1.2971815,0.20107111,-0.5270338
1971-09-13,1.5612739,0.20042811,-0.51889616
1971-09-14,1.4529744,0.24313346,-0.42958215
1971-09-15,1.3244694,0.17489097,-0.37283483
1971-09-16,1.2468594,0.17385621,-0.3626869
1971-09-17,1.173819,0.2004907,-0.35938686
1971-09-20,1.2838613,0.18709894,-0.4167212
1971-09-21,1.3610713,0.20372027,-0.44303805
1971-09-22,1.4280881,0.20290269,-0.45701063
1971-09-23,1.4214839,0.17425208,-0.42612112
1971-09-24,1.3203335,0.1826224,-0.41050622
1971-09-27,1.2363883,0.19446722,-0.40835348
1971-09-28,1.2399888,0.22228344,-0.4384237
1971-09-29,1.110967,0.25446653,-0.44773254
1971-09-30,0.8697085,0.2667963,-0.4338786
1971-10-01,0.7959563,0.21633822,-0.42689586
1971-10-04,0.7286165,0.16025814,-0.46909064
1971-10-05,0.82091933,0.13231578,-0.502292
1971-10-06,0.71901816,0.13960601,-0.4868369
1971-10-07,0.70698243,0.1447003,-0.5241362
1971-10-08,0.58467007,0.10725602,-0.5136537
1971-10-12,0.35757187,0.076253176,-0.47978702
1971-10-13,0.20427056,0.017565139,-0.43303522
1971-10-14,0.19760135,-0.026226709,-0.4026373
1971-10-15,0.25475,-0.02116451,-0.40586096
1971-10-18,0.38973144,-0.03707509,-0.39097
1971-10-19,0.39325386,-0.030955585,-0.38070536
1971-10-20,0.1993003,-0.08587048,-0.3125455
1971-10-21,0.12319729,-0.061963376,-0.3387602
1971-10-22,0.10146771,-0.056284115,-0.34188658
1971-10-26,0.028985055,-0.101509884,-0.3612763
1971-10-27,0.06513029,-0.17807616,-0.3548099
1971-10-28,0.017464325,-0.1386089,-0.32683748
1971-10-29,-0.15193985,-0.16570733,-0.27135184
1971-11-01,-0.29488668,-0.10034994,-0.28645998
1971-11-03,-0.4975227,-0.079715125,-0.38187027
1971-11-04,-0.46685508,-0.060816526,-0.45523274
1971-11-05,-0.47540107,-0.0357379,-0.44224697
1971-11-08,-0.326438,-0.068534724,-0.47226962
