,C1,C2,C3
1971-08-16,0.7951494,-1.138543,-0.81567156
1971-08-17,0.32904083,-1.2163916,-0.7830558
1971-08-18,0.39255035,-1.198539,-0.9477423
1971-08-19,0.2901701,-1.1623323,-1.0437679
1971-08-20,0.42710102,-1.0869817,-1.0288457
1971-08-23,0.7265412,-1.0587597,-1.0821555
1971-08-24,0.4795723,-1.0482068,-0.98312914
1971-08-25,0.5064018,-1.0800921,-1.0056341
1971-08-26,0.44369286,-1.0630628,-0.97908777
1971-08-27,0.3476509,-1.0640233,-0.9288921
1971-08-30,0.32778,-1.0233825,-0.9798248
1971-08-31,0.23098688,-1.0263262,-0.95565766
1971-09-01,0.30554464,-0.8805878,-0.8720789
1971-09-02,0.26177943,-0.8113307,-0.76120436
1971-09-03,0.20689827,-0.7722528,-0.71139026
1971-09-07,0.15564615,-0.72036105,-0.64975184
1971-09-08,0.26847392,-0.65392566,-0.65391207
1971-09-09,0.4615205,-0.6000821,-0.70827013
1971-09-10,0.49511415,-0.58874905,-0.68548244
1971-09-13,0.6227327,-0.6833025,-0.72557616
1971-09-14,0.49938062,-0.7690868,-0.6410997
1971-09-15,0.3782869,-0.8154484,-0.674175
1971-09-16,0.33185598,-0.80537635,-0.66001815
1971-09-17,0.29736024,-0.78517514,-0.61966443
1971-09-20,0.39622384,-0.7449665,-0.6694109
1971-09-21,0.45903498,-0.73049533,-0.67277604
1971-09-22,0.5047004,-0.72944814,-0.68859184
1971-09-23,0.47117388,-0.7721594,-0.7064626
1971-09-24,0.4108829,-0.7608024,-0.67796904
1971-09-27,0.3687883,-0.7383867,-0.65255743
1971-09-28,0.39845806,-0.6951258,-0.6343669
1971-09-29,0.33708775,-0.6427624,-0.58079064
1971-09-30,0.18651955,-0.5917515,-0.5254332
1971-10-01,0.12612778,-0.59091747,-0.5655457
1971-10-04,0.10544765,-0.5379704,-0.62438905
1971-10-05,0.18129496,-0.5243475,-0.67465204
1971-10-06,0.11010349,-0.5175927,-0.6480729
1971-10-07,0.12446311,-0.47092307,-0.6493092
1971-10-08,0.046187747,-0.47672543,-0.6618527
1971-10-12,-0.10510297,-0.5021289,-0.64275897
1971-10-13,-0.2407,-0.573252,-0.65526366
1971-10-14,-0.26667446,-0.63114804,-0.6849059
1971-10-15,-0.22477624,-0.6305686,-0.6904677
1971-10-18,-0.14722094,-0.66750383,-0.7250895
1971-10-19,-0.15108262,-0.6813219,-0.71659863
1971-10-20,-0.32417986,-0.7835356,-0.7119284
1971-10-21,-0.36254358,-0.7302526,-0.6849309
1971-10-22,-0.38095036,-0.72298276,-0.6770157
1971-10-26,-0.4259177,-0.7030962,-0.724629
1971-10-27,-0.41104656,-0.74025726,-0.79768795
1971-10-28,-0.45019096,-0.7631466,-0.7483674
1971-10-29,-0.57417345,-0.8603866,-0.75072885
1971-11-01,-0.66651434,-0.82462835,-0.6734949
1971-11-03,-0.7726168,-0.68874145,-0.6561923
1971-11-04,-0.72392374,-0.5690088,-0.66071403
1971-11-05,-0.73240405,-0.5817881,-0.63213766
1971-11-08,-0.6191345,-0.5288269,-0.6906615
1971-11-09,-0.602342,-0.5295311,-0.7045741
1971-11-10,-0.41740936,-0.4693315,-0.78663653
1971-11-11,-0.51217633,-0.52763575,-0.75209403
1971-11-12,-0.62370616,-0.61775374,-0.72678864
