,C1,C2,C3
1971-08-16,-0.50085735,-1.0887455,0.0
1971-08-17,-0.5858695,-1.0732325,0.0
1971-08-18,-0.59669596,-1.1363103,0.0
1971-08-19,-0.6461049,-1.1622499,0.0
1971-08-20,-0.61555296,-1.1562864,0.0
1971-08-23,-0.55859923,-1.1839377,0.0
1971-08-24,-0.6011833,-1.1421888,0.0
1971-08-25,-0.5942292,-1.1510799,0.0
1971-08-26,-0.6072524,-1.1386646,0.0
1971-08-27,-0.6217426,-1.1157113,0.0
1971-08-30,-0.6412597,-1.132131,0.0
1971-08-31,-0.66137975,-1.1241453,0.0
1971-09-01,-0.64453864,-1.0871732,0.0
1971-09-02,-0.6451334,-1.044974,0.0
1971-09-03,-0.654693,-1.0258201,0.0
1971-09-07,-0.66236746,-1.0019201,0.0
1971-09-08,-0.6465074,-1.0061398,0.0
1971-09-09,-0.6214756,-1.0280372,0.0
1971-09-10,-0.6138172,-1.0196881,0.0
1971-09-13,-0.58264947,-1.0382091,0.0
1971-09-14,-0.5871682,-1.0120391,0.0
1971-09-15,-0.61006546,-1.0186197,0.0
1971-09-16,-0.6193627,-1.0115573,0.0
1971-09-17,-0.6253495,-0.99807817,0.0
1971-09-20,-0.6141687,-1.0137318,0.0
1971-09-21,-0.6033385,-1.015052,0.0
1971-09-22,-0.59563494,-1.0206512,0.0
1971-09-23,-0.5996234,-1.0278856,0.0
1971-09-24,-0.6102888,-1.0157771,0.0
1971-09-27,-0.6187026,-1.0043807,0.0
1971-09-28,-0.61515343,-0.99664617,0.0
1971-09-29,-0.6265543,-0.97735953,0.0
1971-09-30,-0.652297,-0.954305,0.0
1971-10-01,-0.66748905,-0.96409243,0.0
1971-10-04,-0.6837702,-0.9819352,0.0
1971-10-05,-0.67787397,-1.0024179,0.0
1971-10-06,-0.68845594,-0.9896816,0.0
1971-10-07,-0.68968064,-0.98943716,0.0
1971-10-08,-0.7097259,-0.9915792,0.0
1971-10-12,-0.7413875,-0.9811534,0.0
1971-10-13,-0.76835525,-0.9847808,0.0
1971-10-14,-0.7751097,-0.99618185,0.0
1971-10-15,-0.7675482,-0.99964345,0.0
1971-10-18,-0.75361913,-1.0169382,0.0
1971-10-19,-0.75255054,-1.0134434,0.0
1971-10-20,-0.78402853,-1.0098789,0.0
1971-10-21,-0.789796,-0.9979534,0.0
1971-10-22,-0.7913903,-0.9945854,0.0
1971-10-26,-0.8069669,-1.0081902,0.0
1971-10-27,-0.81563026,-1.0356693,0.0
1971-10-28,-0.81434846,-1.017031,0.0
1971-10-29,-0.83771354,-1.0102106,0.0
1971-11-01,-0.8438475,-0.97956914,0.0
1971-11-03,-0.8641999,-0.96038795,0.0
1971-11-04,-0.8583257,-0.96090853,0.0
1971-11-05,-0.85510415,-0.94989944,0.0
1971-11-08,-0.8443151,-0.9748714,0.0
1971-11-09,-0.84301794,-0.9807066,0.0
1971-11-10,-0.8250255,-1.0117681,0.0
1971-11-11,-0.8345816,-0.9972746,0.0
1971-11-12,-0.84878874,-0.9863303,0.0
1971-11-15,-0.8586059,-1.0174775,0.0
1971-11-16,-0.86929727,-1.0297084,0.0
1971-11-17,-0.86735475,-1.0238734,0.0
1971-11-18,-0.86502767,-1.0262368,0.0
1971-11-19,-0.8506651,-1.0325755,0.0
1971-11-22,-0.8370229,-1.0450236,0.0
1971-11-23,-0.8087862,-1.0771258,0.0
1971-11-24,-0.7901107,-1.0863013,0.0
1971-11-26,-0.7988658,-1.0533483,0.0
1971-11-29,-0.8061391,-1.073033,0.0
1971-11-30,-0.8205792,-1.0662626,0.0
1971-12-01,-0.8252672,-1.0557998,0.0
1971-12-02,-0.8354825,-1.0487592,0.0
1971-12-03,-0.85118866,-1.0428976,0.0
1971-12-06,-0.85444295,-1.0564628,0.0
1971-12-07,-0.846081,-1.0756047,0.0
1971-12-08,-0.8544744,-1.0769631,0.0
1971-12-09,-0.84594524,-1.0916421,0.0
1971-12-10,-0.8502145,-1.08484,0.0
1971-12-13,-0.8741262,-1.0893843,0.0
1971-12-14,-0.86462986,-1.1039908,0.0
1971-12-15,-0.8510833,-1.1040542,0.0
1971-12-16,-0.8612255,-1.0980674,0.0
1971-12-17,-0.87553585,-1.0950994,0.0
1971-12-20,-0.86301106,-1.0990344,0.0
1971-12-21,-0.8636694,-1.1113037,0.0
1971-12-22,-0.88043714,-1.1295307,0.0
1971-12-23,-0.9264958,-1.1506969,0.0
1971-12-27,-0.95837927,-1.1535331,0.0
1971-12-28,-0.96781236,-1.1307235,0.0
1971-12-29,-0.9514544,-1.1383935,0.0
1971-12-30,-0.95098114,-1.1444259,0.0
1971-12-31,-0.9581023,-1.1390707,0.0
1972-01-03,-0.94791627,-1.1688799,0.0
1972-01-04,-0.95775855,-1.1791074,0.0
1972-01-05,-0.9691288,-1.192849,0.0
1972-01-06,-0.98830765,-1.2096102,0.0
1972-01-07,-1.0198486,-1.2368233,0.0
1972-01-10,-1.0805668,-1.2851143,0.0
1972-01-11,-1.0685366,-1.2801685,0.0
1972-01-12,-1.0743064,-1.2827388,0.0
1972-01-13,-1.0935239,-1.2872703,0.0
1972-01-14,-1.0998976,-1.2961688,0.0
1972-01-17,-1.0811237,-1.2976176,0.0
1972-01-18,-1.0691648,-1.3108357,0.0
1972-01-19,-1.0321482,-1.3228074,0.0
1972-01-20,-1.0284516,-1.322572,0.0
1972-01-21,-1.0041565,-1.3038993,0.0
1972-01-24,-0.9789506,-1.2924892,0.0
1972-01-25,-0.9838665,-1.2884407,0.0
1972-01-26,-0.9960554,-1.2988205,0.0
1972-01-27,-0.99990904,-1.3454397,0.0
1972-01-28,-0.9889241,-1.3629513,0.0
1972-01-31,-0.9791113,-1.3556569,0.0
1972-02-01,-0.9578011,-1.3387192,0.0
1972-02-02,-0.97310287,-1.339323,0.0
1972-02-03,-0.96241,-1.3427796,0.0
1972-02-04,-0.9782263,-1.3423219,0.0
1972-02-07,-0.9993159,-1.3779653,0.0
1972-02-08,-1.0006392,-1.4007158,0.0
1972-02-09,-1.0100764,-1.4022226,0.0
1972-02-10,-1.0340713,-1.4291668,0.0
1972-02-11,-1.0465238,-1.4506938,0.0
1972-02-14,-1.0452323,-1.4248488,0.0
1972-02-15,-1.04458,-1.4223974,0.0
1972-02-16,-1.0776863,-1.4437821,0.0
1972-02-17,-1.0726154,-1.4318635,0.0
1972-02-18,-1.0551158,-1.3957502,0.0
1972-02-22,-1.0489324,-1.3822438,0.0
1972-02-23,-1.0169847,-1.3569973,0.0
1972-02-24,-1.0134306,-1.3453804,0.0
1972-02-25,-0.9919673,-1.3098898,0.0
1972-02-28,-0.9842197,-1.3057408,0.0
1972-02-29,-0.9788348,-1.3009571,0.0
1972-03-01,-0.9880551,-1.3025565,0.0
1972-03-02,-0.9951036,-1.2952816,0.0
1972-03-03,-0.98872906,-1.2915049,0.0
1972-03-06,-0.9833333,-1.2911763,0.0
1972-03-07,-0.9730644,-1.2909678,0.0
1972-03-08,-0.9686701,-1.2883577,0.0
1972-03-09,-0.9452541,-1.275855,0.0
1972-03-10,-0.9000666,-1.2497529,0.0
1972-03-13,-0.84574914,-1.237416,0.0
1972-03-14,-0.82390976,-1.2130915,0.0
1972-03-15,-0.7798352,-1.1993505,0.0
1972-03-16,-0.7903496,-1.1912502,0.0
1972-03-17,-0.7736268,-1.1862677,0.0
1972-03-20,-0.77630794,-1.1887627,0.0
1972-03-21,-0.80170166,-1.2063042,0.0
1972-03-22,-0.8323077,-1.2256064,0.0
1972-03-23,-0.8058001,-1.227308,0.0
1972-03-24,-0.7753396,-1.1920717,0.0
1972-03-27,-0.7764436,-1.1765193,0.0
1972-03-28,-0.7621639,-1.1716094,0.0
1972-03-29,-0.7407459,-1.1690205,0.0
1972-03-30,-0.72974443,-1.1630237,0.0
1972-04-03,-0.7237878,-1.1767726,0.0
1972-04-04,-0.69540894,-1.1975453,0.0
1972-04-05,-0.70695615,-1.1951008,0.0
1972-04-06,-0.71051824,-1.2084492,0.0
1972-04-07,-0.7144928,-1.2127585,0.0
1972-04-10,-0.7332679,-1.217902,0.0
1972-04-11,-0.7180888,-1.2245688,0.0
1972-04-12,-0.70872045,-1.2404622,0.0
1972-04-13,-0.70999837,-1.2841666,0.0
1972-04-14,-0.7240826,-1.2836175,0.0
1972-04-17,-0.7386477,-1.2831998,0.0
1972-04-18,-0.75364107,-1.297658,0.0
1972-04-19,-0.75910234,-1.2945173,0.0
1972-04-20,-0.7777277,-1.306843,0.0
1972-04-21,-0.795455,-1.3148568,0.0
1972-04-24,-0.80731595,-1.3456196,0.0
1972-04-25,-0.8303219,-1.3644185,0.0
1972-04-26,-0.8339496,-1.3483789,0.0
1972-04-27,-0.8917687,-1.2780547,0.0
1972-04-28,-0.8740562,-1.2812837,0.0
1972-05-01,-0.88018763,-1.2788672,0.0
1972-05-02,-0.8709103,-1.2932372,0.0
1972-05-03,-0.86594754,-1.2989349,0.0
1972-05-04,-0.8626189,-1.3098272,0.0
1972-05-05,-0.8708446,-1.3187572,0.0
1972-05-08,-0.8660991,-1.317221,0.0
1972-05-09,-0.8385967,-1.3066512,0.0
1972-05-10,-0.84839165,-1.2983111,0.0
1972-05-11,-0.8558791,-1.2957335,0.0
1972-05-12,-0.86645496,-1.2815802,0.0
1972-05-15,-0.8628703,-1.267297,0.0
1972-05-16,-0.8438796,-1.2536833,0.0
1972-05-17,-0.82855964,-1.2205302,0.0
1972-05-18,-0.83711547,-1.2179924,0.0
1972-05-19,-0.84002936,-1.2242761,0.0
1972-05-22,-0.8528528,-1.1954155,0.0
1972-05-23,-0.86662704,-1.217608,0.0
1972-05-24,-0.8633555,-1.2189257,0.0
1972-05-25,-0.88425434,-1.2132771,0.0
1972-05-26,-0.88115895,-1.2114601,0.0
1972-05-30,-0.8821773,-1.2010149,0.0
1972-05-31,-0.87259114,-1.221142,0.0
1972-06-01,-0.84959525,-1.1898997,0.0
1972-06-02,-0.8340697,-1.1846268,0.0
1972-06-05,-0.82684577,-1.210233,0.0
1972-06-06,-0.8145262,-1.2162135,0.0
1972-06-07,-0.81995076,-1.2096446,0.0
1972-06-08,-0.8235439,-1.2172937,0.0
1972-06-09,-0.8241555,-1.2105234,0.0
1972-06-12,-0.8215933,-1.2049662,0.0
1972-06-13,-0.81697667,-1.2069118,0.0
1972-06-14,-0.81582093,-1.1589577,0.0
1972-06-15,-0.80454624,-1.1462069,0.0
1972-06-16,-0.7892071,-1.1391944,0.0
1972-06-19,-0.7891463,-1.1281793,0.0
1972-06-20,-0.78310966,-1.1264336,0.0
1972-06-21,-0.7716008,-1.1296147,0.0
1972-06-22,-0.75288826,-1.1233058,0.0
1972-06-23,-0.7432802,-1.1109462,0.0
1972-06-26,-0.7263057,-1.1009747,0.0
1972-06-27,-0.73186016,-1.0985113,0.0
1972-06-28,-0.7367084,-1.1070464,0.0
1972-06-29,-0.72222394,-1.1057678,0.0
1972-06-30,-0.7063441,-1.0919521,0.0
1972-07-03,-0.70825857,-1.0866332,0.0
1972-07-05,-0.7226839,-1.0894418,0.0
1972-07-06,-0.7293669,-1.0891173,0.0
1972-07-07,-0.7210138,-1.0945971,0.0
1972-07-10,-0.7165944,-1.0887376,0.0
1972-07-11,-0.7160498,-1.0880722,0.0
1972-07-12,-0.7216439,-1.0928571,0.0
1972-07-13,-0.7283647,-1.109311,0.0
1972-07-14,-0.74735564,-1.1248232,0.0
1972-07-17,-0.7483701,-1.1356155,0.0
1972-07-18,-0.74478287,-1.1354872,0.0
1972-07-19,-0.7556944,-1.1435626,0.0
1972-07-20,-0.7523731,-1.1531618,0.0
1972-07-21,-0.7478789,-1.1555893,0.0
1972-07-24,-0.7477647,-1.156598,0.0
1972-07-25,-0.7518594,-1.1581929,0.0
1972-07-26,-0.7590191,-1.1614423,0.0
1972-07-27,-0.7618031,-1.1983943,0.0
1972-07-28,-0.773298,-1.2275058,0.0
1972-07-31,-0.7849707,-1.2401203,0.0
1972-08-01,-0.78661025,-1.2446051,0.0
1972-08-02,-0.80374956,-1.2477543,0.0
1972-08-03,-0.79707694,-1.2432717,0.0
1972-08-04,-0.78644747,-1.2363733,0.0
1972-08-07,-0.7814425,-1.2331662,0.0
1972-08-08,-0.78233886,-1.2290446,0.0
1972-08-09,-0.7908907,-1.228524,0.0
1972-08-10,-0.7862489,-1.2309011,0.0
1972-08-11,-0.7840605,-1.2297598,0.0
1972-08-14,-0.77208686,-1.2251239,0.0
1972-08-15,-0.7710727,-1.2243896,0.0
1972-08-16,-0.7719706,-1.2257711,0.0
1972-08-17,-0.7713977,-1.2303399,0.0
1972-08-18,-0.75321174,-1.2171013,0.0
1972-08-21,-0.7409874,-1.199584,0.0
1972-08-22,-0.7275697,-1.1816559,0.0
1972-08-23,-0.7067616,-1.1687424,0.0
1972-08-24,-0.69512236,-1.1665072,0.0
1972-08-25,-0.66230655,-1.1695802,0.0
1972-08-28,-0.6433186,-1.1714777,0.0
1972-08-29,-0.6303557,-1.1676044,0.0
1972-08-30,-0.60929036,-1.1689527,0.0
1972-08-31,-0.60851014,-1.1588738,0.0
1972-09-01,-0.6114943,-1.157978,0.0
1972-09-05,-0.5912096,-1.1636635,0.0
1972-09-06,-0.5827336,-1.1702172,0.0
1972-09-07,-0.57918704,-1.1836829,0.0
1972-09-08,-0.57161796,-1.196568,0.0
1972-09-11,-0.57974035,-1.1910667,0.0
1972-09-12,-0.5744712,-1.1814206,0.0
1972-09-13,-0.56499654,-1.179052,0.0
1972-09-14,-0.5504247,-1.1696773,0.0
1972-09-15,-0.5587949,-1.1592405,0.0
1972-09-18,-0.569126,-1.1512008,0.0
1972-09-19,-0.57191056,-1.1464798,0.0
1972-09-20,-0.568185,-1.1549355,0.0
1972-09-21,-0.5592262,-1.1556615,0.0
1972-09-22,-0.53675425,-1.1404221,0.0
1972-09-25,-0.5360708,-1.1401454,0.0
1972-09-26,-0.5480108,-1.1266296,0.0
1972-09-27,-0.5463343,-1.1161327,0.0
1972-09-28,-0.5530616,-1.1134921,0.0
1972-09-29,-0.5541178,-1.100899,0.0
1972-10-02,-0.5618459,-1.1100109,0.0
1972-10-03,-0.54899645,-1.1215258,0.0
1972-10-04,-0.55609894,-1.1157568,0.0
1972-10-05,-0.5531787,-1.1083931,0.0
1972-10-06,-0.5572878,-1.1110346,0.0
1972-10-10,-0.5699145,-1.0912899,0.0
1972-10-11,-0.56848246,-1.0944974,0.0
1972-10-12,-0.5549377,-1.1073955,0.0
1972-10-13,-0.5509552,-1.1013386,0.0
1972-10-16,-0.5548229,-1.0954521,0.0
1972-10-17,-0.55619836,-1.0910578,0.0
1972-10-18,-0.5536893,-1.1027061,0.0
1972-10-19,-0.55479795,-1.1011139,0.0
1972-10-20,-0.5578197,-1.0981395,0.0
1972-10-24,-0.5698777,-1.0876122,0.0
1972-10-25,-0.56864256,-1.0839796,0.0
1972-10-26,-0.57160074,-1.0810378,0.0
1972-10-27,-0.56932795,-1.0843532,0.0
1972-10-30,-0.56335247,-1.0872021,0.0
1972-10-31,-0.5663869,-1.0838103,0.0
1972-11-01,-0.5737314,-1.0850979,0.0
