,C5,C4,C3,C2,C1
1971-08-16,0.6940415,-0.3213083,0.5241631,2.208947,0.15838102
1971-08-17,0.8197218,-0.06303182,0.34397635,2.1672401,0.25971618
1971-08-18,0.9011079,-0.08463438,0.4390222,2.134879,0.2503994
1971-08-19,0.99759525,-0.18843997,0.40247592,2.0967994,0.29154328
1971-08-20,0.94046766,-0.34589255,0.45172095,2.1203663,0.26360574
1971-08-23,0.8956835,-0.4731319,0.57426554,2.1406431,0.18994655
1971-08-24,0.8957261,-0.39319983,0.47167045,2.1362429,0.25594097
1971-08-25,0.9054209,-0.37887377,0.47366756,2.136122,0.24224614
1971-08-26,0.90155023,-0.3420296,0.46346402,2.1319475,0.2632511
1971-08-27,0.8899344,-0.28492624,0.4217853,2.131542,0.28842792
1971-08-30,0.92858195,-0.3646412,0.4319439,2.1133547,0.30612448
1971-08-31,0.94897425,-0.39536864,0.3644976,2.1057382,0.332934
1971-09-01,0.8493074,-0.46982884,0.45735478,2.1271563,0.33956817
1971-09-02,0.77860755,-0.4803319,0.45151395,2.1432614,0.36205536
1971-09-03,0.757289,-0.44411427,0.4664283,2.140981,0.38615912
1971-09-07,0.72614217,-0.4108258,0.49188793,2.1394672,0.4116617
1971-09-08,0.6887913,-0.4540276,0.5791576,2.1476824,0.3947528
1971-09-09,0.6683691,-0.5279813,0.69691825,2.1528137,0.36058956
1971-09-10,0.6439773,-0.5471806,0.70756817,2.160901,0.35538393
1971-09-13,0.64676094,-0.53881633,0.7021863,2.1758869,0.30475444
1971-09-14,0.6312721,-0.34547365,0.6372824,2.1815252,0.32027155
1971-09-15,0.6888545,-0.1943603,0.61856174,2.1574209,0.34376636
1971-09-16,0.691816,-0.18407649,0.6042732,2.1534708,0.35766676
1971-09-17,0.6753087,-0.24656607,0.5599067,2.1599066,0.36811978
1971-09-20,0.67301786,-0.22292908,0.67215025,2.1537242,0.3555377
1971-09-21,0.65661836,-0.26465997,0.6971451,2.1601267,0.3429808
1971-09-22,0.65448976,-0.29748636,0.7114752,2.1624446,0.33113828
1971-09-23,0.68050194,-0.26231393,0.6793169,2.158214,0.3300767
1971-09-24,0.6770896,-0.23839845,0.65927726,2.1550817,0.34816074
1971-09-27,0.66890526,-0.21526328,0.66116416,2.1524756,0.36460164
1971-09-28,0.6438987,-0.24239339,0.6970188,2.155906,0.36663276
1971-09-29,0.6205953,-0.2640387,0.6919434,2.1560407,0.3907825
1971-09-30,0.615863,-0.23825954,0.6728847,2.1450124,0.43532026
1971-10-01,0.6520623,-0.1887159,0.6875628,2.1280875,0.45101112
1971-10-04,0.68321335,-0.18643735,0.7548478,2.1072657,0.46819046
1971-10-05,0.69491184,-0.18840475,0.81181735,2.1017191,0.4538175
1971-10-06,0.6937202,-0.19661874,0.7798127,2.0995831,0.47153306
1971-10-07,0.68308973,-0.20715411,0.8294184,2.0959504,0.47651872
1971-10-08,0.7108903,-0.18290986,0.81618166,2.081759,0.49877158
1971-10-12,0.7384597,-0.10600789,0.78596497,2.062796,0.5380812
1971-10-13,0.78617084,-0.097977534,0.7239932,2.0451612,0.5606922
1971-10-14,0.8208177,-0.11741451,0.67480433,2.0397084,0.55809397
1971-10-15,0.8177024,-0.13260522,0.6728567,2.0451026,0.54835874
1971-10-18,0.83143073,-0.1285013,0.6586338,2.0508194,0.52379656
1971-10-19,0.8294424,-0.103773825,0.6520699,2.0530481,0.5228247
1971-10-20,0.8778276,-0.0015745461,0.59486794,2.0319784,0.5519951
1971-10-21,0.85582036,0.03659612,0.64987177,2.0278285,0.5691145
1971-10-22,0.851157,0.07876987,0.6704109,2.0251417,0.57391983
1971-10-26,0.87488675,0.14078365,0.72752887,2.005703,0.588717
1971-10-27,0.9269755,0.12291354,0.71607447,1.9927094,0.5818423
1971-10-28,0.9063617,0.14092776,0.6815789,1.9997156,0.58817333
1971-10-29,0.9318378,0.21911034,0.63263464,1.9855388,0.61241055
1971-11-01,0.88339865,0.25526375,0.6701684,1.9849601,0.6393149
1971-11-03,0.84502596,0.16764991,0.7708894,1.9702895,0.6817378
1971-11-04,0.817196,0.074553944,0.8346838,1.9732199,0.6809053
1971-11-05,0.8042902,0.04783631,0.8038287,1.9804347,0.68081033
1971-11-08,0.823964,-0.0121281445,0.82293653,1.9822989,0.6566572
1971-11-09,0.83030194,0.0054593906,0.8312917,1.9807446,0.6528683
