,C3,C2,C1
1971-08-16,-1.8235608,0.26163995,-0.5961223
1971-08-17,-1.7029119,0.14292032,-0.66378057
1971-08-18,-1.743129,0.06668062,-0.66282725
1971-08-19,-1.7511892,-0.031552766,-0.70574886
1971-08-20,-1.7896786,0.02205461,-0.69204473
1971-08-23,-1.8698246,0.0736778,-0.6382359
1971-08-24,-1.8022791,0.064407006,-0.6865398
1971-08-25,-1.8038435,0.057901703,-0.6749635
1971-08-26,-1.7887791,0.05659727,-0.6905624
1971-08-27,-1.7628624,0.06470078,-0.70668685
1971-08-30,-1.7796733,0.021895507,-0.7285459
1971-08-31,-1.7621404,0.00020807981,-0.75077903
1971-09-01,-1.7906778,0.08512744,-0.76302296
1971-09-02,-1.7783962,0.14882882,-0.78192925
1971-09-03,-1.7683685,0.1654302,-0.80080396
1971-09-07,-1.7601751,0.19062537,-0.821082
1971-09-08,-1.7953672,0.22200105,-0.81397533
1971-09-09,-1.845449,0.23358409,-0.79339516
1971-09-10,-1.8494107,0.25592482,-0.7898164
1971-09-13,-1.861232,0.2614709,-0.7425256
1971-09-14,-1.8035872,0.27981144,-0.7421422
1971-09-15,-1.7735558,0.22851302,-0.7537988
1971-09-16,-1.7658446,0.22552724,-0.7649101
1971-09-17,-1.7596898,0.24130334,-0.77733326
1971-09-20,-1.7890964,0.23845854,-0.76845944
1971-09-21,-1.8025227,0.25167978,-0.7606528
1971-09-22,-1.8143357,0.25314876,-0.7527367
1971-09-23,-1.8014741,0.23196857,-0.74827826
1971-09-24,-1.7881427,0.23401208,-0.76261467
1971-09-27,-1.7813714,0.24047096,-0.7759751
1971-09-28,-1.7924752,0.2610567,-0.7808425
1971-09-29,-1.7877574,0.28096828,-0.8040747
1971-09-30,-1.766252,0.28282312,-0.84126806
1971-10-01,-1.7620676,0.2453236,-0.8515692
1971-10-04,-1.7803547,0.20952824,-0.8693124
1971-10-05,-1.8039433,0.1950142,-0.86102295
1971-10-06,-1.7900319,0.19543827,-0.87510234
1971-10-07,-1.8052118,0.20217222,-0.88296866
1971-10-08,-1.794814,0.17238845,-0.90010107
1971-10-12,-1.7646105,0.14235252,-0.9277467
1971-10-13,-1.7390733,0.09247046,-0.94338095
1971-10-14,-1.7310688,0.05932651,-0.940063
1971-10-15,-1.7366947,0.064650826,-0.93232024
1971-10-18,-1.7415694,0.056154467,-0.9100759
1971-10-19,-1.7358615,0.060216196,-0.9073193
1971-10-20,-1.6955404,0.010983422,-0.92111844
1971-10-21,-1.6984457,0.028712464,-0.93618554
1971-10-22,-1.6955451,0.031360075,-0.9392953
1971-10-26,-1.6997886,0.00015598163,-0.9520534
1971-10-27,-1.7057718,-0.052808564,-0.9479871
1971-10-28,-1.6872128,-0.030214446,-0.948669
1971-10-29,-1.6509771,-0.06018868,-0.9608178
